Дата;Обращения
2018-11-16;32972
2018-11-17;20980
2018-11-18;17116
2018-11-19;32130
2018-11-20;36026
2018-11-21;34869
2018-11-22;33396
2018-11-23;33053
2018-11-24;21392
2018-11-25;16949
2018-11-26;33130
2018-11-27;33752
2018-11-28;26199
2018-11-29;32964
2018-11-30;34564
2018-12-01;21225
2018-12-02;18088
2018-12-03;34869
2018-12-04;34770
2018-12-05;34476
2018-12-06;34180
2018-12-07;33324
2018-12-08;22237
2018-12-09;18147
2018-12-10;35260
2018-12-11;38060
2018-12-12;36707
2018-12-13;35399
2018-12-14;35985
2018-12-15;25260
2018-12-16;19476
2018-12-17;37168
2018-12-18;37577
2018-12-19;37784
2018-12-20;37947
2018-12-21;36338
2018-12-22;24399
2018-12-23;20042
2018-12-24;37219
2018-12-25;37321
2018-12-26;37731
2018-12-27;37638
2018-12-28;36871
2018-12-29;31066
2018-12-30;19973
2018-12-31;12651
2019-01-01;5936
2019-01-02;11097
2019-01-03;17159
2019-01-04;19444
2019-01-05;18504
2019-01-06;16155
2019-01-07;16285
2019-01-08;22795
2019-01-09;36025
2019-01-10;37645
2019-01-11;37012
2019-01-12;23841
2019-01-13;18437
2019-01-14;36622
2019-01-15;39127
2019-01-16;37864
2019-01-17;35381
2019-01-18;34580
2019-01-19;22953
2019-01-20;19647
2019-01-21;37566
2019-01-22;38664
2019-01-23;37633
2019-01-24;36107
2019-01-25;35190
2019-01-26;23423
2019-01-27;18954
2019-01-28;36219
2019-01-29;36746
2019-01-30;37323
2019-01-31;37530
2019-02-01;34352
2019-02-02;22150
2019-02-03;18278
2019-02-04;36171
2019-02-05;36734
2019-02-06;36844
2019-02-07;34664
2019-02-08;38473
2019-02-09;25086
2019-02-10;20622
2019-02-11;40385
2019-02-12;41586
2019-02-13;40522
2019-02-14;38848
2019-02-15;39222
2019-02-16;26366
2019-02-17;21141
2019-02-18;40334
2019-02-19;40099
2019-02-20;41150
2019-02-21;40291
2019-02-22;37435
2019-02-23;20614
2019-02-24;19362
2019-02-25;40309
2019-02-26;41167
2019-02-27;41217
2019-02-28;41187
2019-03-01;39096
2019-03-02;24551
2019-03-03;20080
2019-03-04;39771
2019-03-05;40275
2019-03-06;38457
2019-03-07;36014
2019-03-08;18266
2019-03-09;19840
2019-03-10;19074
2019-03-11;42091
2019-03-12;44121
2019-03-13;42294
2019-03-14;41158
2019-03-15;42134
2019-03-16;26820
2019-03-17;22308
2019-03-18;42383
2019-03-19;42001
2019-03-20;42126
2019-03-21;40213
2019-03-22;39774
2019-03-23;25566
2019-03-24;20438
2019-03-25;40550
2019-03-26;40111
2019-03-27;39892
2019-03-28;38721
2019-03-29;38590
2019-03-30;25515
2019-03-31;21463
2019-04-01;38617
2019-04-02;39840
2019-04-03;38204
2019-04-04;38065
2019-04-05;37598
2019-04-06;24244
2019-04-07;19805
2019-04-08;38500
2019-04-09;40120
2019-04-10;40693
2019-04-11;40540
2019-04-12;38981
2019-04-13;25491
2019-04-14;20690
2019-04-15;41761
2019-04-16;41751
2019-04-17;40685
2019-04-18;41510
2019-04-19;39523
2019-04-20;25218
2019-04-21;20363
2019-04-22;39999
2019-04-23;38405
2019-04-24;37667
2019-04-25;36385
2019-04-26;36358
2019-04-27;22341
2019-04-28;15563
2019-04-29;37176
2019-04-30;39557
2019-05-01;21319
2019-05-02;21926
2019-05-03;21781
2019-05-04;20110
2019-05-05;17958
2019-05-06;37678
2019-05-07;36837
2019-05-08;37203
2019-05-09;16569
2019-05-10;22711
2019-05-11;21304
2019-05-12;19465
2019-05-13;41577
